id,topwords,description
48,mapping computer mining solution product generation engineering wireless recognition health,applied computing
35,architecture computer product service wireless algorithms search structure power multi,computing methodologies
26,graph solution neural structure game learning detection model algorithm estimation,computing methodologies
22,learning education computer machine sensor recognition environment selection classification health,computing methodologies
20,image literature search neural sensor level computer feature machine identification,computing methodologies
46,quality solution literature service wireless research computer activity algorithms feature,computing methodologies
47,programming computer prediction generation heuristic image identification health graph energy,computing methodologies
58,algorithms mining prediction education service generation analysis image identification heuristic,computing methodologies
14,classification neural mining research activity generation level prediction quality learning,computing methodologies
49,structure activity prediction architecture detection learning analysis base system application,computing methodologies
50,machine prediction solution heuristic sensor learning framework engineering environment estimation,computing methodologies
31,identification product prediction research heuristic neural level analysis learning development,computing methodologies
51,computing literature solution research computer algorithms energy environment cloud heuristic,computing methodologies
8,time solution activity service prediction wireless game multi base detection,computing methodologies
5,system wireless engineering solution literature product algorithms neural systems feature,computing methodologies
11,application computer product solution sensor service algorithms framework classification wireless,computing methodologies
59,level service solution heuristic product prediction research neural wireless recognition,hardware
40,recognition activity neural prediction level mapping quality multi base system,hardware
1,use generation neural research prediction mining education literature computer search,information systems
56,engineering education research computer activity literature mining search base framework,information systems
39,selection literature mining product wireless heuristic information analysis framework energy,information systems
42,search heuristic solution product computer generation wireless engineering location identification,information systems
10,data mining service heuristic literature sensor structure framework environment estimation,information systems
17,systems engineering solution literature neural wireless algorithms search energy test,information systems
16,management service research generation networks prediction search literature application evaluation,information systems
3,model generation prediction mining wireless activity engineering search level architecture,information systems
55,location activity service search game networks mining feature energy heuristic,networks
53,health literature activity mining service sensor networks analysis information time,networks
52,sensor wireless research networks product prediction health network estimation framework,networks
33,feature prediction product engineering selection game quality information network design,networks
43,environment product computing cloud analysis network evaluation model impact estimation,networks
0,base generation product networks heuristic sensor wireless engineering environment estimation,networks
27,impact education activity mining product networks quality information network multi,networks
4,network neural service generation sensor solution search computer education engineering,networks
6,algorithm computer search networks machine product location recognition structure game,networks
25,cloud service prediction engineering networks recognition literature power computing development,networks
24,framework activity search education wireless networks selection feature computing identification,networks
21,control literature prediction product solution level sensor network base support,networks
12,detection computer product literature networks algorithms level sensor network use,networks
30,information solution generation service health networks selection feature technology impact,networks
19,performance computer search education networks prediction sensor power modeling management,networks
45,technology product literature research service energy information development architecture engineering,social and professional topics
34,assessment computer product activity education health sensor quality multi energy,social and professional topics
57,multi generation heuristic engineering algorithms recognition software selection location architecture,software and its engineering
2,analysis computer solution research sensor software networks test environment base,software and its engineering
7,software product literature engineering service search networks power modeling analysis,software and its engineering
9,evaluation activity algorithms wireless service solution engineering game software development,software and its engineering
32,estimation neural search generation selection quality modeling software development feature,software and its engineering
44,power generation solution wireless heuristic service software development graph health,software and its engineering
23,process mining literature solution engineering service research programming recognition support,software and its engineering
41,simulation engineering wireless software mapping computing modeling network education environment,software and its engineering
38,energy prediction generation engineering networks mapping recognition computing location software,software and its engineering
37,development education mining computer service activity software power test estimation,software and its engineering
36,test generation heuristic machine software application computing impact development assessment,software and its engineering
28,support education computer search neural machine health software wireless selection,software and its engineering
18,networks neural wireless generation prediction heuristic computer level software base,software and its engineering
29,modeling activity solution mining sensor software performance base simulation optimization,software and its engineering
15,optimization algorithms search wireless engineering programming product level recognition mapping,theory of computation
13,design research generation literature algorithms heuristic sensor level solution structure,theory of computation
54,game literature education neural algorithms programming location mapping feature architecture,theory of computation
